name,capacity,storage
TRINITY LAKE,"2,447,650","961,711"
WHISKEYTOWN,"241,100","222,978"
LEWISTON,"14,660","14,375"
SONOMA(WARM SPRINGS),"381,000","209,922"
MENDOCINO (COYOTE),"122,400","52,744"
SHASTA,"4,552,000","2,711,213"
KESWICK,"23,772","20,581"
OROVILLE,"3,537,577","1,552,443"
ANTELOPE,"22,566","16,787"
FRENCHMAN,"55,477","17,703"
LAKE DAVIS,"83,000","46,124"
BULLARDS BAR,"966,000","631,009"
ENGLEBRIGHT,"70,000","63,884"
FOLSOM,"977,000","297,840"
UNION VALLEY,"266,369","164,372"
LOON LAKE,"69,306","45,096"
ICE HOUSE,"43,496","32,567"
NIMBUS,"9,000","8,516"
INDIAN VALLEY,"300,000","60,039"
BLACK BUTTE,"143,700","30,850"
NEW HOGAN,"317,000","76,698"
CAMANCHE,"417,120","284,550"
PARDEE,"203,795","187,628"
DONNELL'S,"64,320","26,815"
BEARDSLEY,"97,800","52,871"
TULLOCH,"67,000","58,770"
NEW MELONES,"2,400,000","526,786"
DON PEDRO,"2,030,000","1,308,556"
HETCH HETCHY,"360,000",----
CHERRY VALLEY,"273,500",----
MC CLURE (EXCHEQUER),"1,024,600","364,139"
EASTMAN (BUCHANAN),"150,000","11,478"
HENSLEY (HIDDEN),"90,000","17,181"
MILLERTON (FRIANT),"520,500","222,023"
SAN LUIS,"2,041,000","510,636"
PINE FLAT,"1,000,000","173,605"
KAWEAH (TERMINUS),"185,600","9,602"
SUCCESS,"82,300","5,157"
ISABELLA,"568,000","92,087"
STAMPEDE,"226,500","86,100"
INDEPENDENCE LAKE,"17,295","16,045"
DONNER LAKE,"9,700","4,133"
CACHUMA LAKE,"205,000","14,089"
PYRAMID,"180,000","167,255"
CASTAIC,"325,000","230,226"
LAKE PERRIS,"131,452","48,144"
